Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
Planes,Family,50,,English,Dusty is a cropdusting plane who dreams of competing in a famous aerial race. The problem? He is hopelessly afraid of heights. With the support of his mentor Skipper and a host of new friends  Dusty sets off to make his dreams come true.,/c8ALtmmmtofVYOxSJG0S5ZcP2pF.jpg,Walt Disney Pictures,2013,Medium,400,From above the world of Cars,5.7,Comedy  Family  Adventure
Unfinished Business,Comedy,35,,English,A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way  including unplanned stops at a massive sex fetish event and a global economic summit.,/syjAbeqw3pNwEmRQHlRGHZUG9kF.jpg,Studio Babelsberg,2015,Medium,400,Best business trip ever.,5.0,Comedy
Sphere,SF & Fantasy,75,http://www.warnerbros.com/movies/home-entertainment/sphere/7bdffe73-2a0e-4e7a-98e7-cee4d723e0b3.html,English,The OSSA discovers a spacecraft thought to be at least 300 years old at the bottom of the ocean. Immediately following the discovery  they decide to send a team down to the depths of the ocean to study the space craft.They are the best of best  smart and logical  and the perfect choice to learn more about the spacecraft.,/jrjzPjKnpJq99GPePKf64k7Fzqh.jpg,Punch Productions,2012,Medium,400,A thousand feet beneath the sea  the blackest holes are in the mind...,5.8,Science Fiction
TRON: Legacy,SF & Fantasy,170,http://disney.go.com/tron/,English,Sam Flynn  the tech-savvy and daring son of Kevin Flynn  investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra  Sam quests to stop evil dictator Clu from crossing into the real world.,/vllvystwQjmXzy5OvBKnGl1JREF.jpg,Walt Disney Pictures,2010,Medium,400,The Game Has Changed.,6.3,Action  Science Fiction  Adventure
Marie Antoinette,Drama,40,http://www.sonypictures.com/homevideo/marieantoinette/index.html,English,The retelling of France's iconic but ill-fated queen  Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and ultimately the fall of Versailles.,/xOdzoe3tC8X1v7M2Z86sdfjpVrO.jpg,American Zoetrope,2006,Medium,400,Rumor. Scandal. Fame. Revolution.,6.5,Drama
War Machine,Drama,60,https://www.netflix.com/title/80068327,English,A rock star general bent on winning the “impossible” war in Afghanistan takes us inside the complex machinery of modern war. Inspired by the true story of General Stanley McChrystal.,/zGlzlzms2vN5vSFVMWuknu7XGXP.jpg,Plan B Entertainment,2017,Medium,400,We're gonna liberate the sh** out of you.,5.8,Comedy  Drama
Cowboys & Aliens,Thriller,163,http://www.cowboysandaliensmovie.com/,English,A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde  he finds himself leading an unlikely posse of cowboys  outlaws  and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.,/tXEHvxU315Yu7bEaMMRcpDpW6RI.jpg,Imagine Entertainment,2011,Medium,400,First Contact. Last Stand.,5.4,Action  Science Fiction  Thriller
Man on the Moon,Romance,82,http://www.universalpictures.com/manonthemoon/,English,A film about the life and career of the eccentric avant-garde comedian  Andy Kaufman.,/otB2n1cXZ6ASbbRSwKm0Ze7kcNn.jpg,Mutual Film Company,2006,Medium,400,Hello  my name is Andy and this is my movie.,6.9,Comedy  Drama  Romance
Road to Perdition,Drama,80,,English,Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure  however after his son is witness to a killing  Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.,/jn0GH8klINSQtRNifY8W2Kv4ajl.jpg,DreamWorks SKG,2002,Medium,400,Pray for Michael Sullivan.,7.3,Drama  Thriller
How to Lose a Guy in 10 Days,Comedy,50,,English,An advice columnist  Andie Anderson (Kate Hudson)  tries pushing the boundaries of what she can write about in her new piece about how to get a man to leave you in 10 days. Her editor  Lana (Bebe Neuwirth)  loves it  and Andie goes off to find a man she can use for the experiment. Enter executive Ben Berry (Matthew McConaughey)  who is so confident in his romantic prowess that he thinks he can make any woman fall in love with him in 10 days. When Andie and Ben meet  their plans backfire.,/aiB7u6xZ9RWeDTQ7c92J8AoiHj3.jpg,Paramount Pictures,2003,Medium,400,One of them is lying. So is the other.,6.3,Comedy  Romance
Nanny McPhee and the Big Bang,SF & Fantasy,35,http://www.nannymcphee.co.uk/,English,Nanny McPhee appears at the door of a harried young mother  Mrs. Isabel Green  who is trying to run the family farm while her husband is away at war. But once she’s arrived  Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant  Nanny uses her magic to teach her mischievous charges five new lessons.,/yBNytVM6U3godvMcwcOQWOvL0f.jpg,Universal Pictures,2010,Medium,400,You'll Believe That Pigs Can Fly!,6.0,Comedy  Fantasy
Four Brothers,Action,45,http://fourbrothersmovie.com,English,Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.,/spb6ir8Z1PzheaxagpCELAhZG4O.jpg,Paramount Pictures,2005,Medium,400,They came home to bury mom... and her killer,6.7,Action
The Last Witch Hunter,SF & Fantasy,90,http://www.thelastwitchhunter.movie/,English,The modern world holds many secrets  but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries  including Kaulder  a valiant warrior who many years ago slayed the all-powerful Witch Queen  decimating her followers in the process. In the moments right before her death  the Queen cursed Kaulder with immortality  forever separating him from his beloved wife and daughter. Today  Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches  all the while yearning for his long-lost family.,/xw1GFKzxjgfm3dQoK1swFcHmfaC.jpg,Summit Entertainment,2015,Medium,400,Hunt forever.,5.7,Action  Fantasy  Adventure
Shadow Conspiracy,Thriller,45,,English,Bobby Bishop (Sheen) is a special assistant to the President of the United States. Accidentally  he meets his friend professor Pochenko on the street. Pochenko has time to tell Bishop about some conspiracy in the White House but then immediately gets killed by an assassin. Now bad guys are after Bobby as the only man who knows about a plot. Bishop must now not only survive  but to stop the conspirators from achieving their goal. And he doesn't know whom to trust.,/w1MCRsbCAIdOTobSmoU9KIEvZKF.jpg,Hollywood Pictures,2006,Medium,400,,4.0,Action  Thriller
Drop Zone,Action,45,,English,A team of skydiving crooks led by DEA-agent-turned-bad Ty Moncrief (Busey) specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents' files and sell them to drug lords. Federal Marshal Pete Nessip (Snipes) lost a brother to this crew and learns skydiving with the help of tough-but-lovable instructor Jessie Crossmann (Butler) so he can track them down.,/pVgdUHeIVEILyRISE4ysA8I6a8T.jpg,Paramount Pictures,2002,Medium,400,Taking crime to new heights,5.1,Action  Adventure  Thriller
Bedtime Stories,Comedy,80,,English,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,/nhovvB0LO5nlgIvpPg2C1iLLAvr.jpg,Walt Disney Pictures,2008,Medium,399,Whatever they dream up... he has to survive.,5.9,Comedy  Fantasy  Family  Romance
Memoirs of an Invisible Man,SF & Fantasy,40,http://www.theofficialjohncarpenter.com/memoirs-of-an-invisible-man/,English,After a freak accident  an invisible yuppie runs for his life from a treacherous CIA official while trying to cope with his new life.,/jEMkUcTUviSqnP88Fs3mKVl0wUs.jpg,Regency Enterprises,2004,Medium,399,An adventure like you've never seen.,5.7,Comedy  Fantasy  Science Fiction
Unstoppable,Action,100,,English,A runaway train  transporting deadly  toxic chemicals  is barreling down on Stanton  Pennsylvania  and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster.,/b2uI9tSssC4D7vCgdES6IZJXuCs.jpg,Twentieth Century Fox Film Corporation,2010,Medium,399,1 000 000 Tons. 100 000 Lives. 100 Minutes.,6.3,Action  Thriller
Rush Hour 3,Comedy,140,,English,After an attempted assassination on Ambassador Han  Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority  but his personal struggles with a Chinese criminal mastermind named Kenji  which reveals that it's Lee's long-lost...brother.,/qgaDWYLrnEPJpc5Lp35WbgX7GfS.jpg,New Line Cinema,2007,Medium,399,The Rush Is On!,6.1,Action  Comedy  Thriller
Cats & Dogs,Family,60,http://catsanddogsmovie.warnerbros.com/cmp/main.html,English,When a professor develops a vaccine that eliminates human allergies to dogs  he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction  led by Mr. Tinkles  squares off against wide-eyed puppy Lou and his canine cohorts.,/1RLlzNwnrpMMNFt71OVFAnJp6ww.jpg,Village Roadshow Pictures,2001,Medium,399,Things Are Gonna Get Hairy!,5.0,Comedy  Family
Priest,Action,60,http://www.priest-themovie.com/,English,In an alternate world  humanity and vampires have warred for centuries. After the last Vampire War  the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires  the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend  who is a wasteland sheriff  and a former Warrior Priestess.,/pE28BDqICBPe3FgphsYSxtH6FcZ.jpg,Screen Gems,2011,Medium,399,Vampire Killer,5.4,Action  Fantasy  Science Fiction  Thriller  Horror
Jonah Hex,Action,47,http://jonah-hex.warnerbros.com/,English,Gunslinger Jonah Hex (Josh Brolin) is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull (John Malkovich)  a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task  he also gets revenge on the man who slayed his wife and child. Megan Fox plays a prostitute as well as Jonah Hex's love interst in the film.,/fhpl0NYcwQ8oUmur30L0ANOay4L.jpg,Warner Bros.,2010,Medium,399,Revenge gets ugly.,4.5,Action  Fantasy  Drama  Thriller
Stuart Little 2,Comedy,120,,English,Stuart  an adorable white mouse  still lives happily with his adoptive family  the Littles  on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart  his human brother  George  and their mischievous cat  Snowbell  set out to rescue a friend.,/cIZb3d1kRcmywmoYFQKhMBqvoZt.jpg,Columbia Pictures,2002,Medium,399,A Little Goes A Long Way,5.4,Comedy  Family  Adventure
The Legend of Bagger Vance,Drama,80,,English,World War I has left golfer Rannulph Junuh a poker-playing alcoholic  his perfect swing gone. Now  however  he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.,/eNEsOEZFOstd1iXTtimbU8qsjDD.jpg,DreamWorks SKG,2000,Medium,399,It Was Just A Moment Ago.,6.4,Fantasy  Drama
Trainwreck,Comedy,35,,English,Having thought that monogamy was never possible  a commitment-phobic career woman may have to face her fears when she meets a good guy.,/2USk7mhiCXRkU9NzttXCzOjg2iV.jpg,Universal Pictures,2015,Medium,399,We All Know One.,5.9,Comedy
Bringing Out the Dead,Drama,32,,English,48 hours in the life of a burnt-out paramedic. Once called Father Frank for his efforts to rescue lives  Frank sees the ghosts of those he failed to save around every turn. He has tried everything he can to get fired  calling in sick  delaying taking calls where he might have to face one more victim he couldn't help  yet cannot quit the job on his own.,/2WFn1CMyGpaHpQSIEpW0DGOaJCS.jpg,Paramount Pictures,2007,Medium,399,,6.6,Drama
Water for Elephants,Drama,38,http://waterforelephantsfilm.com/,English,In this captivating Depression-era melodrama  impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angelic married performer Marlena.,/yL2GKiIZTnr8w3M9NkCXSdbDTxA.jpg,Ingenious Media,2011,Medium,399,Life is the most spectacular show on earth.,6.7,Drama  Romance
Transcendence,Drama,100,,English,Two leading computer scientists work toward their goal of Technological Singularity   as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.,/4eESVBvr7KEvPGUZVL5LDWsANda.jpg,Alcon Entertainment,2014,Medium,399,Yesterday  Dr. Will Caster was only human...,5.9,Science Fiction  Drama  Thriller
Get Smart,Thriller,80,http://getsmartmovie.warnerbros.com/,English,When the identities of secret agents from Control are compromised  the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish  capable Agent 99  the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?,/zS3UhYJvy6oLTBgNckpoyAa0qNs.jpg,Village Roadshow Pictures,2008,Medium,399,Saving The World...And Loving It!,6.0,Action  Comedy  Thriller
